BOX NUMBER,STYLE NO.,BRAND NAME,COLOR,SIZE,SIZE_US,QUANTITY,BOX LOCATION,CATEGORIES,SKU,DESCRIPTION,PRICE,PHOTO,PLATFORM,SAMPLE,Florida_count,MAPPED,Style_colour
12,BD2007/417,MILANO FORMALS,,XL,14,3,3033,#N/A,BD2007/417_14,,,,,,,ATD7992/582,BD2007/417_
12,BD2007/417,MILANO FORMALS,,2XL,18,3,3033,#N/A,BD2007/417_18,,,,,,,ATD7992/582,BD2007/417_
12,BD2007/101,MILANO FORMALS,,XL,14,4,3033,#N/A,BD2007/101_14,,,,,,,ATD7992/898,BD2007/101_
12,BD2006/413,MILANO FORMALS,,S,8,14,3033,#N/A,BD2006/413_8,,,,,,,ATD7993/586,BD2006/413_
13,F570,MILANO FORMALS,PINK,3XL,22,1,3033,#N/A,F570_PINK_22,,,,,,,B429,F570_PINK
13,F570,MILANO FORMALS,PINK,4XL,26,1,3033,#N/A,F570_PINK_26,,,,,,,B429,F570_PINK
13,F570,MILANO FORMALS,PINK,4XL,26,1,3033,#N/A,F570_PINK_26,,,,,,,B429,F570_PINK
13,F1116,MILANO FORMALS,CORAL,8XL,40,1,3033,#N/A,F1116_CORAL_40,,,,,,,B8883,F1116_CORAL
13,E2255,MILANO FORMALS,FUCHSIA,16,16,2,3033,Embellished,E2255_FUCHSIA_16,,,,,,,NV7744,E2255_FUCHSIA
13,F570,MILANO FORMALS,PINK,6XL,34,2,3033,#N/A,F570_PINK_34,,,,,,,B429,F570_PINK
13,F570,MILANO FORMALS,PINK,7XL,38,2,3033,#N/A,F570_PINK_38,,,,,,,B429,F570_PINK
13,F570,MILANO FORMALS,PINK,8XL,40,2,3033,#N/A,F570_PINK_40,,,,,,,B429,F570_PINK
13,E2255,MILANO FORMALS,FUCHSIA,8,8,3,3033,Embellished,E2255_FUCHSIA_8,,,,,,,NV7744,E2255_FUCHSIA
13,E2255,MILANO FORMALS,FUCHSIA,10,10,4,3033,Embellished,E2255_FUCHSIA_10,,,,,,,NV7744,E2255_FUCHSIA
13,F570,MILANO FORMALS,PINK,3XL,22,4,3033,#N/A,F570_PINK_22,,,,,,,B429,F570_PINK
13,E2255,MILANO FORMALS,FUCHSIA,12,12,5,3033,Embellished,E2255_FUCHSIA_12,,,,,,,NV7744,E2255_FUCHSIA
13,E2255,MILANO FORMALS,FUCHSIA,14,14,5,3033,Embellished,E2255_FUCHSIA_14,,,,,,,NV7744,E2255_FUCHSIA
14,E2531,MILANO FORMALS,ROYAL BLUE,2,2,1,3033,Embellished,E2531_ROYAL BLUE_2,,229,,,,,NV7468,E2531_ROYAL BLUE
14,E2531,MILANO FORMALS,ROYAL BLUE,8,8,1,3033,Embellished,E2531_ROYAL BLUE_8,,229,,,,,NV7468,E2531_ROYAL BLUE
14,E2531,MILANO FORMALS,ROYAL BLUE,4,4,2,3033,Embellished,E2531_ROYAL BLUE_4,,229,,,,,NV7468,E2531_ROYAL BLUE
14,E2527,MILANO FORMALS,BLACK,2,2,3,3033,Embellished,E2527_BLACK_2,,229,,,,,NV7472,E2527_BLACK
14,E2527,MILANO FORMALS,BLACK,4,4,3,3033,Embellished,E2527_BLACK_4,,229,,,,,NV7472,E2527_BLACK
14,E2531,MILANO FORMALS,ROYAL BLUE,6,6,4,3033,Embellished,E2531_ROYAL BLUE_6,,229,,,,,NV7468,E2531_ROYAL BLUE
15,E2253,MILANO FORMALS,RED ,4,4,1,3033,#N/A,E2253_RED _4,,,,,,,NV7746,E2253_RED 
15,E1379,MILANO FORMALS,TRUFFLE,6,6,1,3033,Bridesmaid,E1379_TRUFFLE_6,,,,,,,NV8620,E1379_TRUFFLE
15,E2253,MILANO FORMALS,RED,8,8,1,3033,#N/A,E2253_RED_8,,,,,,,NV7746,E2253_RED
15,E1379,MILANO FORMALS,TRUFFLE,10,10,1,3033,Bridesmaid,E1379_TRUFFLE_10,,,,,,,NV8620,E1379_TRUFFLE
15,E2524,MILANO FORMALS,GREEN,10,10,1,3033,#N/A,E2524_GREEN_10,,219,,,,,NV7475,E2524_GREEN
15,E2253,MILANO FORMALS,RED,16,16,1,3033,#N/A,E2253_RED_16,,,,,,,NV7746,E2253_RED
15,E2253,MILANO FORMALS,RED,20,20,1,3033,#N/A,E2253_RED_20,,,,,,,NV7746,E2253_RED
15,E2524,MILANO FORMALS,GREEN,6,6,2,3033,#N/A,E2524_GREEN_6,,219,,,,,NV7475,E2524_GREEN
15,E2253,MILANO FORMALS,RED,10,10,2,3033,#N/A,E2253_RED_10,,,,,,,NV7746,E2253_RED
15,E2253,MILANO FORMALS,RED,12,12,3,3033,#N/A,E2253_RED_12,,,,,,,NV7746,E2253_RED
15,E2253,MILANO FORMALS,RED,14,14,4,3033,#N/A,E2253_RED_14,,,,,,,NV7746,E2253_RED
15,E1745,MILANO FORMALS,TURQUOISE/GREEN,12,12,7,3033,#N/A,E1745_TURQUOISE/GREEN_12,,,,,,,NV8254,E1745_TURQUOISE/GREEN
16,E1379,MILANO FORMALS,TRUFFLE,8,8,1,3033,Bridesmaid,E1379_TRUFFLE_8,,,,,,,NV8620,E1379_TRUFFLE
16,E1379,MILANO FORMALS,TRUFFLE,8,8,7,3033,Bridesmaid,E1379_TRUFFLE_8,,,,,,,NV8620,E1379_TRUFFLE
16,E1379,MILANO FORMALS,TRUFFLE,10,10,8,3033,Bridesmaid,E1379_TRUFFLE_10,,,,,,,NV8620,E1379_TRUFFLE
17,B8808,MILANO FORMALS,IVORY/NAVY,XL,14,1,3033,#N/A,B8808_IVORY/NAVY_14,,,,,,,AT1191,B8808_IVORY/NAVY
17,F570,MILANO FORMALS,PINK,5XL,30,1,3033,#N/A,F570_PINK_30,,,,,,,B429,F570_PINK
17,F570,MILANO FORMALS,LILAC,6XL,34,1,3033,#N/A,F570_LILAC_34,,,,,,,B429,F570_LILAC
17,B8808,MILANO FORMALS,IVORY/NAVY,L,12,2,3033,#N/A,B8808_IVORY/NAVY_12,,,,,,,AT1191,B8808_IVORY/NAVY
17,F570,MILANO FORMALS,PERRI,L,12,2,3033,#N/A,F570_PERRI_12,,,,,,,B429,F570_PERRI
17,F570,MILANO FORMALS,PINK,8XL,40,2,3033,#N/A,F570_PINK_40,,,,,,,B429,F570_PINK
17,B8808,MILANO FORMALS,IVORY/NAVY,M,10,3,3033,#N/A,B8808_IVORY/NAVY_10,,,,,,,AT1191,B8808_IVORY/NAVY
17,F570,MILANO FORMALS,PINK,7XL,38,3,3033,#N/A,F570_PINK_38,,,,,,,B429,F570_PINK
17,F570,MILANO FORMALS,LILAC,7XL,38,3,3033,#N/A,F570_LILAC_38,,,,,,,B429,F570_LILAC
17,F570,MILANO FORMALS,PERRI,S,8,3,3033,#N/A,F570_PERRI_8,,,,,,,B429,F570_PERRI
17,B8808,MILANO FORMALS,IVORY/NAVY,S,8,4,3033,#N/A,B8808_IVORY/NAVY_8,,,,,,,AT1191,B8808_IVORY/NAVY
17,F570,MILANO FORMALS,PINK,6XL,34,5,3033,#N/A,F570_PINK_34,,,,,,,B429,F570_PINK
17,F570,MILANO FORMALS,LILAC,8XL,40,5,3033,#N/A,F570_LILAC_40,,,,,,,B429,F570_LILAC
18,E2511,MILANO FORMALS,BLUE,0,0,1,3033,#N/A,E2511_BLUE_0,,,,,,,NV7488,E2511_BLUE
18,E2531,MILANO FORMALS,ROYAL BLUE,0,0,1,3033,Embellished,E2531_ROYAL BLUE_0,,,,,,,NV7468,E2531_ROYAL BLUE
18,E2023,MILANO FORMALS,TURQUOISE,2,2,1,3033,Short,E2023_TURQUOISE_2,,219,,,,,NV7976,E2023_TURQUOISE
18,E1379,MILANO FORMALS,PEACOCK,10,10,1,3033,Bridesmaid,E1379_PEACOCK_10,,,,,,,NV8620,E1379_PEACOCK
18,E2526,MILANO FORMALS,GREEN,2,2,2,3033,Embellished,E2526_GREEN_2,,,,,,,NV7473,E2526_GREEN
18,E1379,MILANO FORMALS,PEACOCK,8,8,2,3033,Bridesmaid,E1379_PEACOCK_8,,,,,,,NV8620,E1379_PEACOCK
18,E1379,MILANO FORMALS,PEACOCK,4,4,3,3033,Bridesmaid,E1379_PEACOCK_4,,,,,,,NV8620,E1379_PEACOCK
18,E1379,MILANO FORMALS,PEACOCK,6,6,3,3033,Bridesmaid,E1379_PEACOCK_6,,,,,,,NV8620,E1379_PEACOCK
18,E1946,MILANO FORMALS,NAVY,0,0,1,3033,#N/A,E1946_NAVY_0,,,,,,,NV8053,E1946_NAVY
19,F570,MILANO FORMALS,FUCHSIA,10,10,1,3033,#N/A,F570_FUCHSIA_10,,,,,,,B429,F570_FUCHSIA
19,F570,MILANO FORMALS,FUCHSIA,8XL,40,1,3033,#N/A,F570_FUCHSIA_40,,,,,,,B429,F570_FUCHSIA
19,F570,MILANO FORMALS,FUCHSIA,4XL,26,4,3033,#N/A,F570_FUCHSIA_26,,,,,,,B429,F570_FUCHSIA
19,E1799,MILANO FORMALS,FUCHSIA,8,8,6,3033,Prom,E1799_FUCHSIA_8,,,,,,,NV8200,E1799_FUCHSIA
19,F570,MILANO FORMALS,FUCHSIA,S,8,6,3033,#N/A,F570_FUCHSIA_8,,,,,,,B429,F570_FUCHSIA
19,F570,MILANO FORMALS,FUCHSIA,7XL,38,10,3033,#N/A,F570_FUCHSIA_38,,,,,,,B429,F570_FUCHSIA
19,F570,MILANO FORMALS,FUCHSIA,6XL,34,18,3033,#N/A,F570_FUCHSIA_34,,,,,,,B429,F570_FUCHSIA
20,E2023,MILANO FORMALS,TIFFANY,2,2,1,3033,Short,E2023_TIFFANY_2,,219,,,,,NV7976,E2023_TIFFANY
20,E2602,MILANO FORMALS,MINT,2,2,1,3033,#N/A,E2602_MINT_2,,,,,,,NV7397,E2602_MINT
20,E1582,MILANO FORMALS,GREEN,4,4,1,3033,Bridesmaid,E1582_GREEN_4,,,,,,,NV8417,E1582_GREEN
20,E1582,MILANO FORMALS,FUCHSIA,4,4,1,3033,Bridesmaid,E1582_FUCHSIA_4,,,,,,,NV8417,E1582_FUCHSIA
20,E1799,MILANO FORMALS,GREEN,4,4,1,3033,Prom,E1799_GREEN_4,,,,,,,NV8200,E1799_GREEN
20,E1582,MILANO FORMALS,TEAL,6,6,1,3033,Bridesmaid,E1582_TEAL_6,,,,,,,NV8417,E1582_TEAL
20,E2602,MILANO FORMALS,MINT,6,6,1,3033,#N/A,E2602_MINT_6,,,,,,,NV7397,E2602_MINT
20,E2526,MILANO FORMALS,GREEN,8,8,1,3033,Embellished,E2526_GREEN_8,,,,,,,NV7473,E2526_GREEN
20,E1582,MILANO FORMALS,TEAL,4,4,5,3033,Bridesmaid,E1582_TEAL_4,,,,,,,NV8417,E1582_TEAL
21,E2101,MILANO FORMALS,WINE,2,2,1,3033,Gala/ pageant,E2101_WINE_2,,,,,,,NV7898,E2101_WINE
21,E2101,MILANO FORMALS,WINE,4,4,1,3033,Gala/ pageant,E2101_WINE_4,,,,,,,NV7898,E2101_WINE
21,E2101,MILANO FORMALS,WINE,10,10,1,3033,Gala/ pageant,E2101_WINE_10,,,,,,,NV7898,E2101_WINE
21,E2101,MILANO FORMALS,WINE,14,14,1,3033,Gala/ pageant,E2101_WINE_14,,,,,,,NV7898,E2101_WINE
21,E2560,MILANO FORMALS,NAVY,14,14,1,3033,#N/A,E2560_NAVY_14,,,,,,,NV7439,E2560_NAVY
21,E2101,MILANO FORMALS,WINE,8,8,2,3033,Gala/ pageant,E2101_WINE_8,,,,,,,NV7898,E2101_WINE
21,E2101,MILANO FORMALS,WINE,16,16,2,3033,Gala/ pageant,E2101_WINE_16,,,,,,,NV7898,E2101_WINE
21,B8808,MILANO FORMALS,IVORY/NAVY,L,12,2,3033,#N/A,B8808_IVORY/NAVY_12,,,,,,,AT1191,B8808_IVORY/NAVY
21,B8808,MILANO FORMALS,IVORY/NAVY,XL,14,2,3033,#N/A,B8808_IVORY/NAVY_14,,,,,,,AT1191,B8808_IVORY/NAVY
21,E2101,MILANO FORMALS,WINE,12,12,3,3033,Gala/ pageant,E2101_WINE_12,,,,,,,NV7898,E2101_WINE
21,E2101,MILANO FORMALS,WINE,18,18,3,3033,Gala/ pageant,E2101_WINE_18,,,,,,,NV7898,E2101_WINE
21,B8808,MILANO FORMALS,IVORY/NAVY,S,8,3,3033,#N/A,B8808_IVORY/NAVY_8,,,,,,,AT1191,B8808_IVORY/NAVY
22,F570,MILANO FORMALS,BANANA YELLOW,3XL,22,1,3033,#N/A,F570_BANANA YELLOW_22,,,,,,,B429,F570_BANANA YELLOW
22,F570,MILANO FORMALS,BANANA YELLOW,8XL,40,4,3033,#N/A,F570_BANANA YELLOW_40,,,,,,,B429,F570_BANANA YELLOW
22,F570,MILANO FORMALS,BANANA YELLOW,4XL,26,13,3033,#N/A,F570_BANANA YELLOW_26,,,,,,,B429,F570_BANANA YELLOW
22,F570,MILANO FORMALS,BANANA YELLOW,5XL,30,45,3033,#N/A,F570_BANANA YELLOW_30,,,,,,,B429,F570_BANANA YELLOW
