Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Product Category,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,metafield.custom.clothing_features,metafield.custom.dress_occasion,metafield.custom.dress_style,metafield.custom.skirt_dress_length_type
aa9318,ANDY ANAND COUTURE Wedding AA9318,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"IVORY,IVORY Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,IVORY,Size,10.0,AA9318_IVORY_10,,shopify,1.0,deny,manual,873.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9318_White-Ivory_4.png?v=1727407806,1,ANDY ANAND COUTURE aa9318 IVORY,"IVORY, IVORY Wedding",Wedding,AA9318,Wedding
aa9318,ANDY ANAND COUTURE Wedding AA9318,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"WHITE,WHITE Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,WHITE,Size,4.0,AA9318_WHITE_4,,shopify,1.0,deny,manual,873.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9318_White-Ivory_4.png?v=1727407806,1,ANDY ANAND COUTURE aa9318 WHITE,"WHITE, WHITE Wedding",Wedding,AA9318,Wedding
aa9318,ANDY ANAND COUTURE Wedding AA9318,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"WHITE,WHITE Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,WHITE,Size,6.0,AA9318_WHITE_6,,shopify,1.0,deny,manual,873.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9318_White-Ivory_4.png?v=1727407806,1,ANDY ANAND COUTURE aa9318 WHITE,"WHITE, WHITE Wedding",Wedding,AA9318,Wedding
aa9318,ANDY ANAND COUTURE Wedding AA9318,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"WHITE,WHITE Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,WHITE,Size,8.0,AA9318_WHITE_8,,shopify,1.0,deny,manual,873.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9318_White-Ivory_4.png?v=1727407806,1,ANDY ANAND COUTURE aa9318 WHITE,"WHITE, WHITE Wedding",Wedding,AA9318,Wedding
aa9318,ANDY ANAND COUTURE Wedding AA9318,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"WHITE,WHITE Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,WHITE,Size,10.0,AA9318_WHITE_10,,shopify,1.0,deny,manual,873.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9318_White-Ivory_4.png?v=1727407806,1,ANDY ANAND COUTURE aa9318 WHITE,"WHITE, WHITE Wedding",Wedding,AA9318,Wedding
aa9318,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9318_White-Ivory_1.png?v=1727407797,2,,,,,
aa9318,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9318_White-Ivory_3.png?v=1727407787,3,,,,,
aa9318,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9318_White-Ivory_2.png?v=1727407779,4,,,,,
aa9319,ANDY ANAND COUTURE Wedding AA9319,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"IVORY,IVORY Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,IVORY,Size,4.0,AA9319_IVORY_4,,shopify,2.0,deny,manual,873.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9319_White-Ivory_4.png?v=1727407813,1,ANDY ANAND COUTURE aa9319 IVORY,"IVORY, IVORY Wedding",Wedding,AA9319,Wedding
aa9319,ANDY ANAND COUTURE Wedding AA9319,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"IVORY,IVORY Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,IVORY,Size,6.0,AA9319_IVORY_6,,shopify,3.0,deny,manual,873.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9319_White-Ivory_4.png?v=1727407813,1,ANDY ANAND COUTURE aa9319 IVORY,"IVORY, IVORY Wedding",Wedding,AA9319,Wedding
